layer_order,layer_id,layer_name,position,decoded,behavior_id,param1,param2,width,height,y,x,r,rx,ry
1,2,SYM,38,Space,8,458796,0,100,100,328,548,2400,548,433
1,2,SYM,39,Tab,8,458795,0,100,100,328,752,-2400,852,433
1,2,SYM,40,TRNS,23,0,0,100,100,312,850,-1200,950,412
1,2,SYM,41,Delete,8,458828,0,100,100,312,950,0,0,0
2,1,NAV,0,TRNS,23,0,0,100,100,37,0,0,0,0
2,1,NAV,1,TRNS,23,0,0,100,100,37,100,0,0,0
2,1,NAV,2,TRNS,23,0,0,100,100,12,200,0,0,0
2,1,NAV,3,TRNS,23,0,0,100,100,0,300,0,0,0
2,1,NAV,4,TRNS,23,0,0,100,100,12,400,0,0,0
2,1,NAV,5,TRNS,23,0,0,100,100,24,500,0,0,0
2,1,NAV,6,TRNS,23,0,0,100,100,24,800,0,0,0
2,1,NAV,7,Home,8,458826,0,100,100,12,900,0,0,0
2,1,NAV,8,PageDown,8,458830,0,100,100,0,1000,0,0,0
2,1,NAV,9,PageUp,8,458827,0,100,100,12,1100,0,0,0
2,1,NAV,10,End,8,458829,0,100,100,37,1200,0,0,0
2,1,NAV,11,PrintScreen,8,458822,0,100,100,37,1300,0,0,0
2,1,NAV,12,TRNS,23,0,0,100,100,137,0,0,0,0
2,1,NAV,13,TRNS,23,0,0,100,100,137,100,0,0,0
2,1,NAV,14,TRNS,23,0,0,100,100,112,200,0,0,0
2,1,NAV,15,TRNS,23,0,0,100,100,100,300,0,0,0
2,1,NAV,16,TRNS,23,0,0,100,100,112,400,0,0,0
2,1,NAV,17,MouseRight,1,2,0,100,100,124,500,0,0,0
2,1,NAV,18,TRNS,23,0,0,100,100,124,800,0,0,0
2,1,NAV,19,Left,8,458832,0,100,100,112,900,0,0,0
2,1,NAV,20,Down,8,458833,0,100,100,100,1000,0,0,0
2,1,NAV,21,Up,8,458834,0,100,100,112,1100,0,0,0
2,1,NAV,22,Right,8,458831,0,100,100,137,1200,0,0,0
2,1,NAV,23,TRNS,23,0,0,100,100,137,1300,0,0,0
2,1,NAV,24,TRNS,23,0,0,100,100,237,0,0,0,0
2,1,NAV,25,StudioUnlock,24,0,0,100,100,237,100,0,0,0
2,1,NAV,26,TRNS,23,0,0,100,100,212,200,0,0,0
2,1,NAV,27,TRNS,23,0,0,100,100,200,300,0,0,0
2,1,NAV,28,Mouse5,1,16,0,100,100,212,400,0,0,0
2,1,NAV,29,Mouse4,1,8,0,100,100,224,500,0,0,0
2,1,NAV,30,TRNS,23,0,0,100,100,224,800,0,0,0
2,1,NAV,31,TRNS,23,0,0,100,100,212,900,0,0,0
2,1,NAV,32,K_VolumeDown,8,458881,0,100,100,200,1000,0,0,0
2,1,NAV,33,K_VolumeUp,8,458880,0,100,100,212,1100,0,0,0
2,1,NAV,34,RShift,8,458981,0,100,100,237,1200,0,0,0
2,1,NAV,35,RCtrl,8,458980,0,100,100,237,1300,0,0,0
2,1,NAV,36,Backspace,8,458794,0,100,100,312,350,0,0,0
2,1,NAV,37,TRNS,23,0,0,100,100,312,450,1200,450,412
2,1,NAV,38,Space,8,458796,0,100,100,328,548,2400,548,433
2,1,NAV,39,Tab,8,458795,0,100,100,328,752,-2400,852,433
2,1,NAV,40,TRNS,23,0,0,100,100,312,850,-1200,950,412
2,1,NAV,41,Delete,8,458828,0,100,100,312,950,0,0,0
3,3,ADJ,0,MO_INVALID(458795),12,458795,0,100,100,37,0,0,0,0
3,3,ADJ,1,F11,8,458820,0,100,100,37,100,0,0,0
3,3,ADJ,2,F12,8,458821,0,100,100,12,200,0,0,0
3,3,ADJ,3,TRNS,23,0,0,100,100,0,300,0,0,0
3,3,ADJ,4,TRNS,23,0,0,100,100,12,400,0,0,0
3,3,ADJ,5,TRNS,23,0,0,100,100,24,500,0,0,0
3,3,ADJ,6,TRNS,23,0,0,100,100,24,800,0,0,0
3,3,ADJ,7,TRNS,23,0,0,100,100,12,900,0,0,0
3,3,ADJ,8,TRNS,23,0,0,100,100,0,1000,0,0,0
3,3,ADJ,9,TRNS,23,0,0,100,100,12,1100,0,0,0
3,3,ADJ,10,TRNS,23,0,0,100,100,37,1200,0,0,0
3,3,ADJ,11,TRNS,23,0,0,100,100,37,1300,0,0,0
3,3,ADJ,12,LCtrl,8,458976,0,100,100,137,0,0,0,0
3,3,ADJ,13,F1,8,458810,0,100,100,137,100,0,0,0
3,3,ADJ,14,F2,8,458811,0,100,100,112,200,0,0,0
3,3,ADJ,15,F3,8,458812,0,100,100,100,300,0,0,0
3,3,ADJ,16,F4,8,458813,0,100,100,112,400,0,0,0
3,3,ADJ,17,F5,8,458814,0,100,100,124,500,0,0,0
3,3,ADJ,18,F6,8,458815,0,100,100,124,800,0,0,0
3,3,ADJ,19,F7,8,458816,0,100,100,112,900,0,0,0
3,3,ADJ,20,F8,8,458817,0,100,100,100,1000,0,0,0
3,3,ADJ,21,F9,8,458818,0,100,100,112,1100,0,0,0
3,3,ADJ,22,F10,8,458819,0,100,100,137,1200,0,0,0
3,3,ADJ,23,TRNS,23,0,0,100,100,137,1300,0,0,0
3,3,ADJ,24,LCtrl,8,458976,0,100,100,237,0,0,0,0
3,3,ADJ,25,LShift,8,458977,0,100,100,237,100,0,0,0
3,3,ADJ,26,TRNS,23,0,0,100,100,212,200,0,0,0
3,3,ADJ,27,TRNS,23,0,0,100,100,200,300,0,0,0
3,3,ADJ,28,TRNS,23,0,0,100,100,212,400,0,0,0
3,3,ADJ,29,TRNS,23,0,0,100,100,224,500,0,0,0
3,3,ADJ,30,TRNS,23,0,0,100,100,224,800,0,0,0
3,3,ADJ,31,TRNS,23,0,0,100,100,212,900,0,0,0
3,3,ADJ,32,BT_Previous,22,2,0,100,100,200,1000,0,0,0
3,3,ADJ,33,BT_Next,22,1,0,100,100,212,1100,0,0,0
3,3,ADJ,34,RShift,8,458981,0,100,100,237,1200,0,0,0
3,3,ADJ,35,RCtrl,8,458980,0,100,100,237,1300,0,0,0
3,3,ADJ,36,MO(NAV:id1),12,1,0,100,100,312,350,0,0,0
3,3,ADJ,37,Space,8,458796,0,100,100,312,450,1200,450,412
3,3,ADJ,38,Enter,8,458792,0,100,100,328,548,2400,548,433
3,3,ADJ,39,MO(SYM:id2),12,2,0,100,100,328,752,-2400,852,433
3,3,ADJ,40,RAlt,8,458982,0,100,100,312,850,-1200,950,412
3,3,ADJ,41,"UNKNOWN0(0,0)",0,0,0,100,100,312,950,0,0,0
